Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
6.5,0.73402655,0.00087530375,0.0,0,11.076097,19.415884,6.1549181e-05,9.3516846,11.076003,22.856174,-9.4848471
6.6,0.73149878,0.00059276889,0.0,0,11.076097,19.715881,6.2422747e-05,9.3083534,11.076023,22.878712,-9.4848585
6.7,0.7290532,0.0010187994,0.0,0,11.076097,20.015886,5.6488148e-05,9.2842236,11.077765,22.85898,-9.4845648
6.8,0.72845763,0.00091871526,0.0,0,11.076097,20.315884,4.7683927e-05,9.2686357,11.076296,22.803282,-9.4846992
6.9,0.72198784,0.00073874689,0.0,0,11.076097,20.615883,5.388548e-05,9.1901217,11.074761,22.835505,-9.4842072
7.0,0.72690696,0.00066352426,0.0,0,11.076097,20.915882,6.762358e-05,9.2575808,11.075713,22.824253,-9.4841871
7.1,0.72205657,0.00046922654,0.0,0,11.076097,21.215881,2.4767905e-05,9.202899,11.076634,22.81418,-9.483799
7.2,0.71995145,0.00071698072,0.0,0,11.076097,21.515886,3.2335935e-05,9.173049,11.076405,22.83399,-9.4832573
7.3,0.72354829,0.00089181756,0.0,0,11.076097,21.815886,6.712247e-05,9.2216072,11.076614,22.771338,-9.4831743
7.4,0.71901643,0.00049968611,0.0,0,11.076097,22.115885,5.0880662e-05,9.1401958,11.075797,22.804644,-9.483119
7.5,0.72057563,0.00067897118,0.0,0,11.076097,22.415882,4.6949146e-05,9.1624641,11.076239,22.841722,-9.4829702
7.6,0.7169953,0.00097870489,0.0,0,11.076097,22.715885,5.2382558e-05,9.1195402,11.076727,22.814314,-9.4827776
7.7,0.71277034,0.00065090053,0.0,0,11.076097,23.015886,5.8388312e-05,9.0762796,11.075683,22.81163,-9.4825163
7.8,0.71659535,0.00080406386,0.0,0,11.076097,23.315882,6.5214575e-05,9.1297588,11.077863,22.796453,-9.4821949
7.9,0.71834892,0.00061578961,3.7323415,0,11.076097,23.615885,4.9012095e-05,9.1535273,11.076394,22.82259,-9.4824696
8.0,0.71668941,0.00096523028,7.6052561,0,11.076097,23.915886,4.20094e-05,9.136447,11.077056,22.779348,-9.4820223
8.1,0.71377623,0.0013525577,9.3187542,0,11.076097,24.215883,9.0311943e-05,9.0856094,11.076417,22.852905,-9.4818258
8.2,0.71171391,0.00079627719,12.19873,0,11.076097,24.515881,4.866159e-05,9.065752,11.07559,22.788452,-9.4815683
8.3,0.71411532,0.00097082276,13.666458,0,11.076097,24.815884,8.5136278e-05,9.0852642,11.075798,22.85582,-9.4813442
8.4,0.70992172,0.0012570678,17.216076,0,11.076097,25.115885,6.6723071e-05,9.037838,11.076227,22.786285,-9.4812288
8.5,0.71766049,0.0010917078,18.108988,0,11.076097,25.415886,6.1372171e-05,9.1351919,11.076707,22.836653,-9.4812441
8.6,0.71321458,0.0011316984,20.437616,0,11.076097,25.715883,8.4831729e-05,9.0876789,11.077842,22.83028,-9.4812603
8.7,0.70914584,0.0010677859,21.620571,0,11.076097,26.015882,9.273614e-05,9.0343065,11.076627,22.84354,-9.4808893
8.8,0.70975173,0.0011333092,23.702824,0,11.076097,26.315886,6.7981782e-05,9.0345459,11.076238,22.850664,-9.4806738
8.9,0.70866007,0.0012615576,24.697863,0,11.076097,26.615883,7.3180076e-05,9.0230999,11.076355,22.942114,-9.4804211
9.0,0.71066874,0.0010712111,26.109049,0,11.076097,26.915884,8.642031e-05,9.0583477,11.075027,22.951784,-9.4802065
9.1,0.71729022,0.00097121601,27.173769,0,11.076097,27.215885,7.4538366e-05,9.1272554,11.075434,23.044683,-9.4801073
9.2,0.70807594,0.00099992345,28.037806,0,11.076097,27.515886,7.0298243e-05,9.006793,11.076891,23.118439,-9.479949
9.3,0.70541227,0.0011085089,29.358261,0,11.076097,27.815884,5.858047e-05,8.985486,11.076793,23.090351,-9.4800262
9.4,0.7108348,0.0010184682,30.118467,0,11.076097,28.115879,8.0770369e-05,9.0580502,11.075825,23.175045,-9.4799299
9.5,0.71241832,0.00094797957,30.787128,0,11.076097,28.415886,6.3214677e-05,9.0704346,11.075186,23.278646,-9.4794779
9.6,0.71223366,0.00091250567,31.823156,0,11.076097,28.715885,7.5008633e-05,9.0789013,11.076176,23.415169,-9.4796772
9.7,0.70429009,0.00077958958,32.747761,0,11.076097,29.015886,3.3523025e-05,8.9682217,11.075815,23.439087,-9.4790955
9.8,0.70969748,0.00070624595,33.439201,0,11.076097,29.315882,5.2621392e-05,9.0278893,11.075793,23.594152,-9.4790773
9.9,0.70941049,0.00033963236,34.131985,0,11.076097,29.615885,2.5630887e-05,9.0370121,11.07708,23.701679,-9.47894
10.0,0.70589709,-0.00015411458,34.62841,0,11.076097,29.915886,1.5312789e-05,8.9888592,11.076571,23.806643,-9.4785185
10.1,0.71301621,-9.2477152e-05,35.411438,0,11.076097,30.215881,-1.310687e-05,9.0840588,11.076589,23.94796,-9.4785299
10.2,0.70721757,-0.00027759967,36.192753,0,11.076097,30.515886,-2.0144531e-05,8.9937859,11.076142,24.111734,-9.4782915
10.3,0.71234012,-0.00061152969,36.304749,0,11.076097,30.815884,-2.874591e-05,9.0769281,11.077626,24.312094,-9.4781437
10.4,0.70833367,-0.00066007546,37.048557,0,11.076097,31.115885,-2.3682062e-05,9.0221691,11.076246,24.453505,-9.4780293
10.5,0.7146911,-0.00097236515,37.697189,0,11.076097,31.415884,-6.9527894e-05,9.0980492,11.077124,24.63122,-9.4780998
10.6,0.71699959,-0.0014102884,38.147041,0,11.076097,31.715883,-0.00010639041,9.1455679,11.075877,24.832747,-9.4780893
10.7,0.72532856,-0.0016715027,38.472893,0,11.076097,32.015884,-9.8839118e-05,9.2429113,11.075814,25.001797,-9.4780807
10.8,0.72748858,-0.0018270967,39.005005,0,11.076097,32.315887,-0.00011370844,9.2716131,11.076526,25.235596,-9.4775677
10.9,0.72581339,-0.0020915512,39.232857,0,11.076097,32.615883,-0.00014163346,9.2282829,11.075418,25.406849,-9.477416
11.0,0.72436142,-0.0021408305,39.69569,0,11.076097,32.915894,-0.00016571097,9.2265444,11.076027,25.657604,-9.4771185
11.1,0.7292307,-0.0025102524,39.914425,0,11.076097,33.215885,-0.00015640927,9.2806101,11.076176,25.957348,-9.4770479
11.2,0.72628981,-0.0025656451,40.45752,0,11.076097,33.515888,-0.00016678107,9.2511854,11.076366,26.115643,-9.4767227
11.3,0.72974515,-0.002709893,40.567535,0,11.076097,33.815884,-0.00016997046,9.290823,11.076513,26.410967,-9.4767351
11.4,0.72782546,-0.0028668633,41.072086,0,11.076097,34.115875,-0.00022017637,9.2628126,11.076446,26.604834,-9.4764967
11.5,0.72499621,-0.002998831,41.193161,0,11.076097,34.415878,-0.00020035701,9.223959,11.075179,26.892294,-9.4760208
11.6,0.7354275,-0.0031952455,41.746181,0,11.076097,34.715881,-0.00022304249,9.3758373,11.075699,27.166845,-9.4761257
11.7,0.73747265,-0.0034491671,41.800518,0,11.076097,35.015881,-0.00020748819,9.3872557,11.07654,27.399689,-9.4763565
11.8,0.73477489,-0.0035218669,42.293549,0,11.076097,35.315887,-0.00025097234,9.3598566,11.07615,27.668583,-9.4760189
11.9,0.73041958,-0.003882966,42.3918,0,11.076097,35.615887,-0.00027100145,9.3147593,11.077995,27.950994,-9.4759989
12.0,0.73370707,-0.0043264907,42.442326,0,11.076097,35.915894,-0.00028835426,9.3363037,11.076138,28.260406,-9.4756794
12.1,0.72750658,-0.0045110495,42.820313,0,11.076097,36.215893,-0.000277085,9.2662506,11.076168,28.577566,-9.4756584
12.2,0.72973371,-0.0046457257,43.196949,0,11.076097,36.515896,-0.00030756817,9.2974911,11.07567,28.793543,-9.4754305
12.3,0.73471165,-0.0045365863,43.140327,0,11.076097,36.815887,-0.00032163496,9.3566875,11.07497,29.170818,-9.4752522
12.4,0.72483826,-0.0049109724,43.486065,0,11.076097,37.115887,-0.00031645515,9.2430468,11.076243,29.448469,-9.4751968
12.5,0.7244696,-0.0049936064,43.503117,0,11.076097,37.415882,-0.00032916505,9.2203379,11.076432,29.76965,-9.474781
12.6,0.71962243,-0.0055157747,43.905136,0,11.076097,37.715874,-0.00036354008,9.1858854,11.075762,30.071785,-9.4749327
12.7,0.72744858,-0.005541042,44.069706,0,11.076097,38.015881,-0.00039052626,9.2682199,11.0762,30.369867,-9.4744892
12.8,0.7287783,-0.0060018566,44.076824,0,11.076097,38.31588,-0.00038140191,9.2763758,11.076358,30.667614,-9.474555
12.9,0.7295453,-0.006247588,44.518574,0,11.076097,38.615879,-0.00041216589,9.2900381,11.075278,30.904938,-9.4739943
13.0,0.73194987,-0.0064334325,44.600777,0,11.076097,38.91589,-0.00040719929,9.3213329,11.075931,31.259594,-9.4741096
13.1,0.72433412,-0.0066994843,44.739635,0,11.076097,39.215889,-0.00045675211,9.2295036,11.07605,31.575922,-9.4737654
13.2,0.72065866,-0.0070590661,45.10318,0,11.076097,39.515896,-0.00046921943,9.1757612,11.076114,31.881691,-9.4734716
13.3,0.72365606,-0.0075018681,45.120087,0,11.076097,39.815891,-0.00050071185,9.2243795,11.076317,32.219006,-9.4731598
13.4,0.72545218,-0.0079628062,45.342857,0,11.076097,40.115891,-0.00050642545,9.2372828,11.076488,32.538517,-9.4733047
13.5,0.72937876,-0.0080509065,45.478504,0,11.076097,40.415886,-0.00055084011,9.2950268,11.077039,32.825626,-9.4730053
13.6,0.73385173,-0.0083419913,45.541267,0,11.076097,40.715881,-0.00057069043,9.3532104,11.076331,33.11071,-9.4729757
13.7,0.7302497,-0.0086552314,45.612034,0,11.076097,41.015877,-0.00056780811,9.3061275,11.075864,33.580914,-9.4729614
13.8,0.73129565,-0.0087791719,45.615093,0,11.076097,41.31588,-0.00056534517,9.3169851,11.075781,33.884945,-9.4725733
13.9,0.72198451,-0.0092371926,45.966595,0,11.076097,41.615883,-0.000619456,9.2010384,11.076047,34.196415,-9.4722376
14.0,0.72763777,-0.0094105657,46.103436,0,11.076097,41.915882,-0.00064116926,9.2671728,11.076037,34.498493,-9.472229
14.1,0.7281304,-0.0097257886,46.109356,0,11.076097,42.215885,-0.00063483749,9.2856903,11.076632,34.840412,-9.4719782
14.2,0.73099273,-0.010346384,46.393635,0,11.076097,42.515892,-0.00068664277,9.3276653,11.076139,35.102955,-9.4719868
14.3,0.73229426,-0.010561446,46.362495,0,11.076097,42.815891,-0.00069436181,9.3318396,11.076052,35.508385,-9.4718113
14.4,0.72530001,-0.01028844,46.572521,0,11.076097,43.115891,-0.00070219667,9.2481089,11.076188,35.879372,-9.4714231
14.5,0.73162198,-0.010979851,46.581612,0,11.076097,43.415897,-0.00072586775,9.3226624,11.07624,36.174263,-9.4713736
14.6,0.73461622,-0.011086183,46.79892,0,11.076097,43.715889,-0.00074305432,9.3498516,11.075251,36.456326,-9.4712439
14.7,0.72968632,-0.011334294,47.026073,0,11.076097,44.015888,-0.0007278673,9.302598,11.0754,36.806309,-9.4710569
14.8,0.72645056,-0.01157831,47.020489,0,11.076097,44.315876,-0.00078803999,9.2669001,11.076103,37.036362,-9.4708176
14.9,0.71968967,-0.012209984,47.066574,0,11.076097,44.615879,-0.00080645469,9.1685266,11.076298,37.388828,-9.4703703
15.0,0.73356026,-0.012445023,47.428143,0,11.076097,44.915874,-0.00081875653,9.3555241,11.076819,37.754005,-9.4703722
15.1,0.73465312,-0.012604522,47.50156,0,11.076097,45.215881,-0.00082531665,9.3709822,11.076797,38.142437,-9.4704189
15.2,0.73098558,-0.012700229,47.504738,0,11.076097,45.515884,-0.00085327396,9.3356419,11.076552,38.483425,-9.4704075
15.3,0.72227335,-0.013024477,47.504879,0,11.076097,45.815887,-0.00087854604,9.2155743,11.076416,38.879139,-9.4696932
15.4,0.72912401,-0.013277904,47.560799,0,11.076097,46.115891,-0.00088241172,9.2725983,11.075456,39.130127,-9.4696188
15.5,0.73303986,-0.013992182,47.52253,0,11.076097,46.415897,-0.00091325643,9.3413029,11.075466,39.591587,-9.4693012
15.6,0.72969168,-0.014275257,47.611988,0,11.076097,46.715897,-0.00094933098,9.2943401,11.076829,39.939583,-9.4692049
15.7,0.72933578,-0.014293535,47.868824,0,11.076097,47.015896,-0.00097112684,9.2922258,11.076912,40.316185,-9.4693165
15.8,0.72629863,-0.014806464,47.951576,0,11.076097,47.315887,-0.00097926636,9.2541599,11.076845,40.641895,-9.4692659
15.9,0.73035222,-0.015096775,47.955162,0,11.076097,47.615887,-0.00099736312,9.3140993,11.075584,40.994717,-9.4689341
16.0,0.73039222,-0.015544651,48.140316,0,11.076097,47.915882,-0.0010297603,9.3113976,11.075321,41.245079,-9.468833
16.1,0.72874504,-0.015838126,47.963333,0,11.076097,48.215881,-0.0010793343,9.2886829,11.07558,41.710915,-9.4685497
16.2,0.72493649,-0.015979281,48.264114,0,11.076097,48.515877,-0.001067588,9.2346191,11.076286,42.039211,-9.4680758
16.3,0.73244762,-0.01647833,48.240486,0,11.076097,48.815884,-0.0011096366,9.3244743,11.076021,42.424721,-9.4677095
16.4,0.73705816,-0.01667412,48.281033,0,11.076097,49.115883,-0.0010927503,9.3880482,11.076856,42.804592,-9.46772
16.5,0.73741049,-0.016754931,48.19685,0,11.076097,49.415886,-0.0011332892,9.3969307,11.076504,43.202904,-9.4676046
16.6,0.73823673,-0.017355379,48.375698,0,11.076097,49.715893,-0.0011521113,9.396554,11.076002,43.584179,-9.4677277
16.7,0.73330688,-0.017651064,48.383438,0,11.076097,50.015896,-0.0011693682,9.3472719,11.076742,43.894066,-9.4671078
16.8,0.73829895,-0.018111696,48.383774,0,11.076097,50.315899,-0.0011876997,9.4222603,11.075333,44.313255,-9.4671679
16.9,0.73569763,-0.018130608,48.383785,0,11.076097,50.615894,-0.0012072859,9.3912554,11.07674,44.627159,-9.4667196
17.0,0.7396583,-0.018423039,48.383785,0,11.076097,50.91589,-0.0012297041,9.4349937,11.075594,44.997082,-9.4663792
17.1,0.73511916,-0.019323045,48.559753,0,11.076097,51.215885,-0.0012714649,9.3833284,11.076626,45.349625,-9.465971
17.2,0.73819274,-0.019448478,48.391411,0,11.076097,51.515881,-0.0012771172,9.4084654,11.076513,45.779709,-9.4661255
17.3,0.74095106,-0.020091951,48.532207,0,11.076097,51.815884,-0.0013282462,9.4421616,11.077206,46.116505,-9.4662724
17.4,0.73660713,-0.020056095,48.60104,0,11.076097,52.115879,-0.0013604726,9.3885965,11.076269,46.4902,-9.4659777
17.5,0.73515463,-0.020469733,48.802937,0,11.076097,52.415882,-0.0013533199,9.3742867,11.076494,46.810398,-9.4657927
17.6,0.73735672,-0.020948231,48.762196,0,11.076097,52.715889,-0.0013885485,9.4111919,11.07503,47.182343,-9.4656868
17.7,0.74430019,-0.021021686,48.810089,0,11.076097,53.015888,-0.001381655,9.5083733,11.07612,47.526302,-9.4655657
17.8,0.73345691,-0.021279631,48.812164,0,11.076097,53.315891,-0.0014412805,9.3536654,11.076762,47.948025,-9.4651289
17.9,0.7370823,-0.021433782,48.812252,0,11.076097,53.615898,-0.0014324083,9.3935442,11.076242,48.306499,-9.4650564
18.0,0.7430898,-0.021641513,48.812252,0,11.076097,53.915901,-0.001445392,9.4761457,11.076832,48.611649,-9.4649849
18.1,0.74240261,-0.021934995,48.812252,0,11.076097,54.215897,-0.0014464922,9.4646931,11.076378,49.076473,-9.4648676
18.2,0.74049348,-0.021995127,48.879326,0,11.076097,54.515888,-0.0014816168,9.431695,11.07723,49.272778,-9.4645586
18.3,0.73559284,-0.02230986,48.894798,0,11.076097,54.81588,-0.0015040496,9.3803692,11.076881,49.717861,-9.4644127
18.4,0.7399683,-0.022438239,48.912022,0,11.076097,55.115879,-0.0014885027,9.4365873,11.075875,50.088421,-9.4642906
18.5,0.73728621,-0.022876751,48.904198,0,11.076097,55.415878,-0.00150175,9.4172792,11.075171,50.444458,-9.4644346
18.6,0.74129152,-0.02270239,48.909042,0,11.076097,55.715881,-0.0015204791,9.4674654,11.077597,50.785664,-9.4640617
18.7,0.73870325,-0.022848064,49.120964,0,11.076097,56.015884,-0.0015425022,9.420826,11.077265,51.189899,-9.4640884
18.8,0.73513252,-0.02321214,48.898094,0,11.076097,56.315891,-0.0015388462,9.3809032,11.076022,51.578434,-9.4638891
18.9,0.73809838,-0.023517413,48.985455,0,11.076097,56.615891,-0.0015659109,9.4168968,11.075644,51.958336,-9.4634886
19.0,0.73806453,-0.023689745,49.209473,0,11.076097,56.915897,-0.001579509,9.4047356,11.075689,52.23999,-9.4635086
19.1,0.73761815,-0.023730338,49.228859,0,11.076097,57.2159,-0.0015977386,9.3965063,11.077485,52.608688,-9.4632711
19.2,0.73342842,-0.024629831,49.229698,0,11.076097,57.515896,-0.0016273694,9.3644676,11.076241,52.995655,-9.4631453
19.3,0.73586458,-0.024818927,49.229733,0,11.076097,57.815891,-0.0016526644,9.3864527,11.076481,53.290871,-9.4631033
19.4,0.73464394,-0.025146421,49.229733,0,11.076097,58.115887,-0.0016574905,9.365159,11.076915,53.690601,-9.4629202
